Year,1st,2nd,3rd,4th,5th+,Change1st,Change2nd,Change3rd,Change4th,Change5th+
2008,211419,142551,41054,12452,8961,0%,0%,0%,0%,0%
2009,213513,144047,41273,12048,8456,0.99%,1.05%,0.53%,-3.24%,-5.64%
2010,207914,145763,41305,12090,7958,-2.62%,1.19%,0.08%,0.35%,-5.89%
2011,191788,139912,39694,11481,7194,-7.76%,-4.01%,-3.90%,-5.04%,-9.60%
2012,188910,140774,39801,11213,7160,-1.50%,0.62%,0.27%,-2.33%,-0.47%
2013,180282,134806,38640,10566,6668,-4.57%,-4.24%,-2.92%,-5.77%,-6.87%
2014,178603,141026,39721,10656,6495,-0.93%,4.61%,2.80%,0.85%,-2.59%
2015,173669,138681,39039,9995,7924,-2.76%,-1.66%,-1.72%,-6.20%,22.00%
2016,175888,146967,42524,10735,6143,1.28%,5.97%,8.93%,7.40%,-22.48%
2017,172642,161272,49965,11896,6207,-1.85%,9.73%,17.50%,10.82%,1.04%
